"html_url","type","name","company","blog","location","bio","public_repos","followers","created_at","updated_at"
"https://github.com/TheCubanMuseum","Organization","The Cuban Museum",,,"Miami, FL",,"0","0","2014-07-02T15:15:25Z","2014-07-02T15:25:34Z"
"https://github.com/ashmolean","User","The Ashmolean Museum","The Ashmolean Museum ","http://www.ashmolean.org/","Oxford",,"1","0","2016-02-10T12:33:41Z","2016-04-10T10:29:01Z"
"https://github.com/KimbellArt","Organization","Kimbell Art Museum",,"http://www.kimbellart.org","Fort Worth, TX",,"0","0","2015-12-03T21:40:30Z","2016-04-08T11:51:03Z"
"https://github.com/deutsche-kinemathek","User","Deutsche Kinemathek - Museum für Film und Fernsehen",,"http://www.deutsche-kinemathek.de",,,"2","0","2012-08-09T09:54:08Z","2015-04-07T16:20:40Z"
"https://github.com/ColbyMuseum","Organization","Colby College Museum of Art",,"http://colby.edu/museum","Waterville, ME",,"1","0","2015-06-18T19:45:02Z","2015-06-29T18:02:21Z"
"https://github.com/humanrights","Organization","Canadian Museum for Human Rights",,"http://humanrights.ca","Winnipeg, MB",,"1","0","2014-09-12T19:39:28Z","2016-03-12T10:06:08Z"
"https://github.com/cmnh","Organization","Carnegie Museum of Natural History",,"http://carnegiemnh.org/","Pittsburgh, PA",,"1","0","2014-01-10T16:49:26Z","2016-03-22T20:22:03Z"
"https://github.com/MILEVMUS","User","Hungarian Jewish Museum and Archives","HJMA","http://milev.hu","Budapest",,"1","0","2015-07-26T16:39:26Z","2016-02-28T07:56:43Z"
"https://github.com/mfaweb","Organization","Museum of Fine Arts Boston",,"http://www.mfa.org","Boston, MA","art museum","0","0","2015-12-16T20:09:38Z","2016-03-19T20:21:45Z"
"https://github.com/NMAAHC","User","Smithsonian National Museum of African American History and Culture (NMAAHC)",,,"Washington, D.C.",,"3","1","2015-10-15T04:17:13Z","2016-03-07T15:32:22Z"
"https://github.com/VMNH","User","Virginia Museum of Natural History","Virginia Museum of Natural History","https://www.vmnh.net","Martinsville, Virginia",,"0","0","2015-08-13T12:55:15Z","2016-02-01T19:46:24Z"
"https://github.com/gaamt","Organization","Global Association for the Advancement of Museum Technologies",,"http://gaamt.org","Global","Global Association for the Advancement of Museum Technologies","2","0","2014-06-24T12:27:46Z","2014-07-06T00:39:17Z"
"https://github.com/whitneymuseum","Organization","Whitney Museum of American Art",,"http://whitney.org",,,"1","0","2011-01-20T18:25:51Z","2016-03-20T20:21:53Z"
"https://github.com/IMLS","Organization","Institute of Museum and Library Services",,,"Washington, DC",,"1","0","2014-09-15T15:41:19Z","2015-04-27T15:19:44Z"
"https://github.com/mzlu-feedback","Organization","mzlu-feedback (Lund Museum of Zoology)",,,,,"1","0","2015-05-11T18:41:23Z","2015-05-11T20:50:27Z"
"https://github.com/ACMTX","Organization","Amon Carter Museum of American Art",,"http://www.cartermuseum.org","Fort Worth, TX",,"1","0","2016-01-19T17:40:25Z","2016-01-19T17:44:32Z"
"https://github.com/cpmab","Organization","Colorado Plateau Museum of Arthropod Biodiversity",,"http://nau.edu/merriam-powell/biodiversity-center/museum-of-arthropod-biodiversity/","Flagstaff, AZ",,"1","0","2015-12-08T05:09:13Z","2015-12-08T15:48:56Z"
"https://github.com/ECCo1","User","The Field Museum - Science and Education","The Field Museum",,,,"0","0","2011-05-18T16:06:51Z","2016-02-27T00:16:08Z"
"https://github.com/autrymuseum","Organization","Autry Museum of the American West",,"https://theautry.org/","4700 Western Heritage Way, Los Angeles, CA 90027",,"0","0","2015-10-28T22:28:51Z","2016-03-14T10:40:12Z"
"https://github.com/UBCBBMCTC","User","Beaty Biodiversity Museum Cowan Tetrapod Collection",,"http://www.beatymuseum.ubc.ca/collections/vertebrate","Vancouver, BC",,"0","0","2013-10-23T16:44:43Z","2016-02-27T11:52:25Z"
"https://github.com/BrowningMuseumWebTeamWest","Organization","Browning Museum Web Team (West Coast Concern)",,,"Northwestern Washington and Alaska, USA",,"0","0","2013-10-15T22:40:07Z","2015-10-04T04:43:27Z"
"https://github.com/autrymuseum","Organization","Autry Museum of the American West",,"https://theautry.org/","4700 Western Heritage Way, Los Angeles, CA 90027",,"0","0","2015-10-28T22:28:51Z","2016-03-14T10:40:12Z"
"https://github.com/themade","User","The Museum of Art and Digital Entertainment","The MADE","http://www.themade.org","3400 Broadway, Oakland CA 94611",,"0","1","2016-01-12T00:00:12Z","2016-04-04T03:07:57Z"
"https://github.com/OMT-FLMNH-UF","User","Office of Museum Technology, Florida Museum of Natural History, University of Florida","Florida Museum of Natural History, University of Florida","http://www.flmnh.ufl.edu/omt","Gainesville, FL, USA",,"0","0","2016-03-17T15:30:10Z","2016-03-18T15:33:22Z"
"https://github.com/FLMNH","Organization","Office of Museum Technology, Florida Museum of Natural History, University of Florida",,"http://www.flmnh.ufl.edu/omt","Gainesville, FL, US","OMT FLMNH UF","1","0","2016-03-17T16:42:37Z","2016-03-19T07:09:59Z"
"https://github.com/mus-nature-ca","Organization","Canadian Museum of Nature | Musée canadien de la nature",,"http://nature.ca/",,,"2","0","2016-03-24T17:12:08Z","2016-03-24T19:00:04Z"
"https://github.com/ns11mm","Organization","National September 11 Memorial and Museum at the World Trade Center, Inc.",,"www.911memorial.org","New York, NY",,"1","0","2011-07-05T19:33:54Z","2016-03-24T09:59:14Z"
